Date,YM-EF,NKD-EF,NQ-EF,GC-EF,JPYUSD-EF,Z-EF,CL-EF,DXY-EF,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2021-07-15,34864.0,28105.0,14787.5,1828.4000244140625,109.98400115966795,564.25,71.6500015258789,92.62000274658205,0.7158269882202148,0.801705002784729,0.6496419906616211,0.6720770001411438,3421313,-2411768.48767821,,,,0.6720770001411438,0.6720770001411438,0.0,0.0,0.0,,3421313.0,,,,,
2021-07-16,34564.0,27805.0,14670.5,1814.5,109.77799987792967,556.0,71.80999755859375,92.69000244140624,0.672415018081665,0.9175580143928528,0.6009460091590881,0.7892460227012634,3268867,-1792420.952779958,,,,0.6901030036119314,0.680756186997449,0.0093468166144824,0.0018693633228964,0.0074774532915859,,6690180.0,,,,,
2021-07-17,34564.0,27805.0,14670.5,1814.5,109.77799987792967,556.0,71.80999755859375,92.69000244140624,0.7861009836196899,0.8990640044212341,0.7508159875869751,0.8467890024185181,4481305,-471498.57263962296,,,,0.7142085418898678,0.6930549140656763,0.0211536278241915,0.0057262162231554,0.015427411601036,,11171485.0,,,,,
2021-07-18,34564.0,27805.0,14670.5,1814.5,109.77799987792967,556.0,71.80999755859375,92.69000244140624,0.8469780087471008,0.8470079898834229,0.7486129999160767,0.7912480235099792,1628930,-688782.125666505,,,,0.7260607698314234,0.7003284777282173,0.0257322921032061,0.0097274313991656,0.0160048607040405,,9542555.0,,,,,
2021-07-19,33839.0,27285.0,14540.75,1808.699951171875,109.8740005493164,556.0,66.41999816894531,92.88999938964844,0.7924619913101196,0.8004810214042664,0.7064970135688782,0.7397599816322327,1392829,-1095706.6588936904,,,,0.7281683408777018,0.7032493298692555,0.0249190110084462,0.0127657473210217,0.0121532636874245,,8149726.0,,,,,
2021-07-20,34400.0,27755.0,14722.75,1810.9000244140625,109.53399658203124,571.75,67.41999816894531,92.97000122070312,0.7431660294532776,0.7567489743232727,0.6806880235671997,0.6901649832725525,1289307,-2063726.3120022323,,,,0.7223216704769095,0.7022801190102405,0.020041551466669,0.0142209081501512,0.0058206433165178,,6860419.0,,,,,
2021-07-21,34689.0,27970.0,14827.75,1802.9000244140625,109.91999816894533,571.75,70.30000305175781,92.75,0.689935028553009,0.745166003704071,0.6809840202331543,0.6962800025939941,1387302,-2789778.976600309,,,,0.7183152600333841,0.7018356659423703,0.0164795940910137,0.0146726453383237,0.00180694875269,,8247721.0,,,,,
2021-07-22,34709.0,27970.0,14928.5,1805.0,110.25499725341795,564.5,71.91000366210938,92.81999969482422,0.6970340013504028,0.7421780228614807,0.685778021812439,0.6936460137367249,1301633,-3728247.5160038513,,,,0.7145199913723597,0.7012290250382485,0.0132909663341111,0.0143963095374812,-0.00110534320337,,6946088.0,,,,,
2021-07-23,34951.0,28200.0,15098.0,1801.4000244140625,110.13999938964844,547.25,72.06999969482422,92.91000366210938,0.6937900185585022,0.744828999042511,0.690015971660614,0.7151250243186951,671422,-3784532.160457011,,,,0.7146130733641036,0.7022583583182815,0.012354715045822,0.0139879906391493,-0.0016332755933273,,7617510.0,,,,,
2021-07-24,34951.0,28200.0,15098.0,1801.4000244140625,110.13999938964844,547.25,72.06999969482422,92.91000366210938,0.7136510014533997,0.7280120253562927,0.6847559809684753,0.6924899816513062,885541,-4353411.069688142,,,,0.711209520792904,0.7015347748614686,0.0096747459314353,0.0131253416976065,-0.0034505957661712,,6731969.0,,,,,
2021-07-25,34951.0,28200.0,15098.0,1801.4000244140625,110.13999938964844,547.25,72.06999969482422,92.91000366210938,0.6924980282783508,0.6954450011253357,0.6397169828414917,0.6602429747581482,1594119,-4773224.047804524,,,,0.7033685137106339,0.6984761230019634,0.0048923907086705,0.0114787514998193,-0.0065863607911488,,5137850.0,,,,,
2021-07-26,35034.0,27970.0,15117.75,1798.699951171875,110.54399871826172,549.75,71.91000366210938,92.6500015258789,0.6596649885177612,0.7299489974975586,0.6479330062866211,0.6933330297470093,1337877,-4629935.087772837,,,,0.7018245931008456,0.698095153131226,0.0037294399696194,0.0099288891937794,-0.0061994492241599,,6475727.0,,,,,
2021-07-27,34953.0,27615.0,14947.75,1799.5,110.302001953125,548.75,71.6500015258789,92.43000030517578,0.6931149959564209,0.7119380235671997,0.6644120216369629,0.7060679793357849,1720035,-3334790.934226095,,,,0.7024774217523746,0.6986857328500823,0.0037916889022923,0.0087014491354819,-0.0049097602331896,,8195762.0,,,,,
2021-07-28,34834.0,27810.0,15011.5,1799.5,109.80599975585938,549.25,72.38999938964844,92.31999969482422,0.7034929990768433,0.7226449847221375,0.6841880083084106,0.7192649841308594,671674,-2781184.3829200645,,,,0.7050601236567569,0.7002101218338436,0.0048500018229132,0.0079311596729682,-0.0030811578500549,18.4138915889657,8867436.0,54.962265874238255,,,37.37033750411399,
2021-07-29,34974.0,27775.0,15037.75,1831.199951171875,109.89099884033205,558.0,73.62000274658203,91.86000061035156,0.7192689776420593,0.948190987110138,0.7094209790229797,0.8990349769592285,1530769,-1880699.7067389465,,,,0.7349024087802141,0.7149378888801684,0.0199645199000456,0.0103378317183837,0.0096266881816619,11.237827695349203,10398205.0,67.3187409067776,,,85.84399678670577,
2021-07-30,34832.0,27470.0,14955.75,1812.5999755859373,109.40899658203124,547.0,73.94999694824219,92.16999816894533,0.8988639712333679,0.8988639712333679,0.8411089777946472,0.8602240085601807,806271,-2153271.572989122,,,,0.7541826549002089,0.7256998236712804,0.0284828312289284,0.0139668316204926,0.0145159996084357,9.596852557939336,9591934.0,56.15188424262738,,,71.48317932656941,64.89917120579639
2021-07-31,34832.0,27470.0,14955.75,1812.5999755859373,109.40899658203124,547.0,73.94999694824219,92.16999816894533,0.8602420091629028,0.8879179954528809,0.8426799774169922,0.8447329998016357,801876,-2882365.011522478,,,,0.768113477192736,0.7345170959772327,0.0335963812155033,0.0178927415394948,0.0157036396760085,8.901815452947567,8790058.0,49.80778832123541,,,66.46135948465101,74.59617853264207
2021-08-01,34832.0,27470.0,14955.75,1812.5999755859373,109.40899658203124,547.0,73.94999694824219,92.16999816894533,0.8447960019111633,1.122370958328247,0.8427389860153198,1.0391080379486084,2109341,-2029174.303110917,,,,0.8098049480782549,0.7570793879751124,0.0527255601031424,0.0248593052522243,0.0278662548509181,8.482474221397457,10899399.0,68.39646337041293,,,82.74894133454154,73.56449338192066
2021-08-02,34721.0,27525.0,14952.75,1818.0999755859373,109.70600128173828,558.75,71.26000213623047,92.0500030517578,1.026432991027832,1.035297989845276,0.9245349764823914,0.9251869916915894,1305407,-3319212.5395344533,,,,0.8275560317110755,0.7695318030652218,0.0580242286458536,0.0314922899309502,0.0265319387149034,9.685903384301833,9593992.0,62.595315512748265,,,59.14589401300506,69.45206494406587
2021-08-03,34998.0,27685.0,15046.25,1810.0999755859373,109.2689971923828,550.5,70.55999755859375,92.08000183105467,0.9243890047073364,0.9460359811782836,0.8580189943313599,0.9001849889755249,1078871,-3364381.513603458,0.9893600393699198,0.778710350394249,0.5680606614185781,0.8387297174440678,0.7792098168363554,0.0595199006077123,0.0370978120663026,0.0224220885414097,10.049792189964364,8515121.0,64.75891593415746,0.778710350394249,,53.965784870493614,65.28687340601341
