Date,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2021-07-15,0.7158269882202148,0.801705002784729,0.6496419906616211,0.6720770001411438,3421313,-2411768.48767821,,,,0.6720770001411438,0.6720770001411438,0.0,0.0,0.0,,3421313.0,,,,,
2021-07-16,0.672415018081665,0.9175580143928528,0.6009460091590881,0.7892460227012634,3268867,-1792420.952779958,,,,0.6901030036119314,0.680756186997449,0.009346816614482445,0.001869363322896489,0.007477453291585956,,6690180.0,,,,,
2021-07-17,0.7861009836196899,0.8990640044212341,0.7508159875869751,0.8467890024185181,4481305,-471498.57263962296,,,,0.7142085418898678,0.6930549140656763,0.0211536278241915,0.005726216223155492,0.01542741160103601,,11171485.0,,,,,
2021-07-18,0.8469780087471008,0.8470079898834229,0.7486129999160767,0.7912480235099792,1628930,-688782.125666505,,,,0.7260607698314234,0.7003284777282173,0.025732292103206156,0.009727431399165626,0.01600486070404053,,9542555.0,,,,,
2021-07-19,0.7924619913101196,0.8004810214042664,0.7064970135688782,0.7397599816322327,1392829,-1095706.6588936904,,,,0.7281683408777018,0.7032493298692555,0.02491901100844629,0.012765747321021759,0.012153263687424531,,8149726.0,,,,,
2021-07-20,0.7431660294532776,0.7567489743232727,0.6806880235671997,0.6901649832725525,1289307,-2063726.3120022325,,,,0.7223216704769095,0.7022801190102405,0.020041551466669083,0.014220908150151224,0.005820643316517859,,6860419.0,,,,,
2021-07-21,0.689935028553009,0.745166003704071,0.6809840202331543,0.6962800025939941,1387302,-2789778.976600309,,,,0.7183152600333841,0.7018356659423703,0.01647959409101374,0.014672645338323728,0.0018069487526900102,,8247721.0,,,,,
2021-07-22,0.6970340013504028,0.7421780228614807,0.685778021812439,0.6936460137367249,1301633,-3728247.5160038513,,,,0.7145199913723597,0.7012290250382485,0.013290966334111198,0.014396309537481222,-0.001105343203370024,,6946088.0,,,,,
2021-07-23,0.6937900185585022,0.744828999042511,0.690015971660614,0.7151250243186951,671422,-3784532.160457011,,,,0.7146130733641036,0.7022583583182815,0.012354715045822084,0.013987990639149395,-0.001633275593327311,,7617510.0,,,,,
2021-07-24,0.7136510014533997,0.7280120253562927,0.6847559809684753,0.6924899816513062,885541,-4353411.069688142,,,,0.711209520792904,0.7015347748614686,0.009674745931435358,0.01312534169760659,-0.0034505957661712314,,6731969.0,,,,,
2021-07-25,0.6924980282783508,0.6954450011253357,0.6397169828414917,0.6602429747581482,1594119,-4773224.047804524,,,,0.7033685137106339,0.6984761230019634,0.004892390708670535,0.01147875149981938,-0.006586360791148844,,5137850.0,,,,,
2021-07-26,0.6596649885177612,0.7299489974975586,0.6479330062866211,0.6933330297470093,1337877,-4629935.087772837,,,,0.7018245931008456,0.698095153131226,0.003729439969619497,0.009928889193779402,-0.006199449224159905,,6475727.0,,,,,
2021-07-27,0.6931149959564209,0.7119380235671997,0.6644120216369629,0.7060679793357849,1720035,-3334790.934226095,,,,0.7024774217523746,0.6986857328500823,0.0037916889022923117,0.008701449135481985,-0.004909760233189673,,8195762.0,,,,,
2021-07-28,0.7034929990768433,0.7226449847221375,0.6841880083084106,0.7192649841308594,671674,-2781184.3829200645,,,,0.7050601236567569,0.7002101218338436,0.004850001822913286,0.007931159672968245,-0.0030811578500549597,18.248947110132008,8867436.0,54.962265874238255,,,37.37033750411399,
2021-07-29,0.7192689776420593,0.9481909871101379,0.7094209790229797,0.8990349769592285,1530769,-1880699.7067389463,,,,0.7349024087802141,0.7149378888801684,0.019964519900045663,0.01033783171838373,0.009626688181661933,11.237827695349203,10398205.0,67.3187409067776,,,85.84399678670577,
2021-07-30,0.8988639712333679,0.8988639712333679,0.8411089777946472,0.8602240085601807,806271,-2153271.572989122,,,,0.7541826549002089,0.7256998236712804,0.028482831228928474,0.01396683162049268,0.014515999608435793,9.596852557939336,9591934.0,56.15188424262738,,,71.48317932656941,64.89917120579639
